INFO [12-20|14:19:09.052] New local node record                    seq=1 id=a3dc6a456a399bc2 ip=<nil> udp=0 tcp=0
TRACE[12-20|14:19:41.333] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:41.333] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:41.555] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:41.555] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:42.178] >> PONG/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:42.178] << PING/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:42.262] >> PONG/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:42.262] << PING/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:43.423] >> PONG/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:43.423] << PING/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:43.439] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:43.439] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:43.793] >> PING/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:43.851] << PONG/v4                               addr=172.19.0.101:30303 err=nil
DEBUG[12-20|14:19:43.851] Revalidated node                         b=16 id=351f7398fade5b04
TRACE[12-20|14:19:44.222] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:44.222] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:45.270] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:45.270] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:45.578] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:45.578] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:47.067] >> PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:47.067] << PING/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:47.430] >> PONG/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:47.430] << PING/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:47.458] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:47.458] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:48.219] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:48.219] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:48.523] >> PING/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:48.589] << PONG/v4                               addr=172.19.0.101:30303 err=nil
DEBUG[12-20|14:19:48.589] Revalidated node                         b=16 id=351f7398fade5b04
TRACE[12-20|14:19:49.310] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:49.310] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:49.567] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:49.567] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:49.986] >> PONG/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:49.986] << PING/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:51.115] >> PONG/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:51.116] << PING/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:51.890] >> PING/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:51.964] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:51.965] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
DEBUG[12-20|14:19:51.971] Revalidated node                         b=12 id=aca7f1b9a96fa71c
TRACE[12-20|14:19:51.971] << PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:52.699] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:52.699] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:53.294] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:53.294] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:53.616] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:53.616] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:53.976] >> PONG/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:53.976] << PING/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:55.950] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:55.950] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:56.318] >> PONG/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:56.318] << PING/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:56.709] >> PONG/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:56.709] << PING/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:56.716] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:56.716] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:57.313] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:57.313] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:57.613] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:57.613] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:58.766] >> PING/v4                               addr=172.19.0.2:30303   err=nil
DEBUG[12-20|14:19:58.817] Revalidated node                         b=12 id=aca7f1b9a96fa71c
TRACE[12-20|14:19:58.817] << PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:58.922] >> PONG/v4                               addr=172.19.0.101:30303 err=nil
